,final_vcpu,final_ram,final_volume
0,8,88,440
1,48,71,790
2,62,81,870
3,60,63,700
4,7,14,370
5,4,116,610
6,59,115,590
7,34,87,880
8,36,99,630
9,10,70,580
10,7,9,110
11,50,118,770
12,50,93,610
13,43,68,840
14,53,120,790
15,31,85,900
16,60,95,760
17,47,93,730
18,31,118,670
19,55,112,760
20,17,67,840
21,40,112,530
22,6,7,700
23,36,76,780
24,37,63,810
25,39,65,840
26,20,36,580
27,58,68,830
28,52,80,560
29,8,103,700
30,43,100,760
31,36,100,440
32,54,61,750
33,36,111,610
34,53,98,460
35,35,68,730
36,51,95,590
37,52,88,880
38,45,69,820
39,53,87,750
40,32,70,790
41,26,31,530
42,49,113,540
43,36,81,880
44,47,107,780
45,15,19,220
46,41,72,840
47,10,78,570
48,22,57,490
49,13,70,710
50,1,6,250
51,20,115,760
52,43,80,860
53,42,111,800
54,9,40,390
55,39,112,660
56,38,114,900
57,48,78,850
58,43,77,900
59,2,4,70
60,33,112,840
61,45,110,900
62,48,78,880
63,50,78,850
64,20,101,770
65,59,92,690
66,31,102,850
67,58,72,720
68,39,99,900
69,45,73,870
70,60,119,820
71,2,112,740
72,20,74,880
73,54,76,840
74,52,100,500
75,6,77,890
76,11,83,890
77,51,96,570
78,48,89,820
79,36,92,770
80,39,107,560
81,43,89,890
82,45,112,720
83,19,63,610
84,7,65,860
85,6,113,670
86,39,119,620
87,35,103,480
88,40,118,860
89,20,70,460
90,51,63,700
91,41,78,790
92,20,21,390
93,37,37,890
94,20,105,760
95,42,117,710
96,55,76,810
97,56,103,870
98,46,107,670
99,58,103,450
100,51,99,810
101,51,73,800
102,6,22,240
103,47,107,670
104,20,45,430
105,60,64,850
106,42,112,670
107,49,109,900
108,41,103,670
109,31,100,570
110,2,113,670
111,4,51,380
112,38,93,740
113,1,7,450
114,4,79,810
115,49,83,820
116,13,49,810
117,43,118,790
118,50,65,770
119,54,108,590
120,50,88,690
121,3,70,780
122,38,119,850
123,2,87,870
124,44,64,680
125,8,40,570
126,52,120,600
127,55,98,440
128,34,70,660
129,47,65,690
130,49,71,840
131,18,39,690
132,47,118,790
133,17,77,520
134,21,42,400
135,43,107,580
136,50,65,820
137,11,67,840
138,50,69,730
139,38,104,570
140,42,110,530
141,14,97,810
142,3,119,670
143,50,82,850
144,7,13,370
145,33,98,870
146,36,116,700
147,43,94,780
148,56,120,640
149,49,105,760
150,52,76,840
151,59,92,550
152,2,5,470
153,18,76,780
154,9,35,890
155,33,94,640
156,39,105,710
157,60,100,440
158,19,76,540
159,40,78,830
160,73,82,890
161,19,76,450
162,40,120,810
163,52,62,730
164,53,96,800
165,8,94,860
166,53,96,570
167,43,104,620
168,60,101,540
169,16,75,890
170,26,45,440
171,58,109,700
172,46,67,850
173,61,64,650
174,18,18,190
175,18,40,390
176,12,101,850
177,33,101,690
178,5,9,430
179,32,89,770
180,44,105,630
181,2,61,640
182,19,40,560
183,16,21,290
184,12,108,820
185,2,14,520
186,52,100,630
187,1,36,460
188,42,79,830
189,19,86,860
190,54,76,860
191,54,97,840
192,4,99,800
193,51,63,430
194,52,114,780
195,19,109,560
196,57,96,460
197,2,63,840
198,46,106,770
199,3,4,540
200,58,118,810
201,2,68,880
202,39,59,600
203,15,50,640
204,22,21,270
205,6,11,550
206,53,115,820
207,10,112,790
208,41,102,760
209,12,98,750
210,12,81,600
211,20,35,730
212,28,37,870
213,47,97,540
214,67,72,720
215,18,113,820
216,3,13,380
217,66,73,870
218,26,22,360
219,40,118,740
220,4,36,390
221,40,112,590
222,9,73,830
223,33,87,360
224,13,37,810
225,11,71,710
226,4,88,450
227,31,110,750
228,11,108,640
229,56,82,850
230,48,93,670
231,53,109,730
232,58,63,840
233,45,92,800
234,56,117,590
235,19,96,700
236,56,119,860
237,60,67,880
238,37,104,530
239,6,80,500
240,58,103,460
241,4,7,430
242,59,75,870
243,75,83,890
244,14,90,610
245,66,72,770
246,51,93,530
247,54,90,730
248,52,82,640
249,54,86,860
250,32,116,660
251,39,107,500
252,3,71,900
253,60,68,860
254,19,66,730
255,57,73,800
256,54,90,810
257,35,109,590
258,46,106,570
259,42,75,860
260,56,108,690
261,5,5,570
262,60,70,830
263,40,97,560
264,55,80,890
265,47,95,860
266,7,12,650
267,20,84,650
268,50,86,670
269,23,21,450
270,46,64,710
271,67,76,830
272,44,107,690
273,52,109,810
274,54,117,820
275,62,68,860
276,40,63,830
277,51,91,760
278,28,29,830
279,44,90,880
280,39,106,890
281,6,10,810
282,56,87,620
283,19,31,360
284,19,66,860
285,51,87,640
286,45,107,620
287,4,97,820
288,25,26,730
289,50,86,630
290,58,92,350
291,15,70,870
292,17,66,880
293,36,112,900
294,5,118,850
295,6,119,600
296,54,74,790
297,14,68,820
298,56,90,690
299,51,90,830
300,58,107,710
301,54,114,780
302,5,15,410
303,57,61,700
304,64,68,760
305,46,118,810
306,37,97,510
307,37,98,570
308,41,104,680
309,42,108,790
310,31,62,700
311,5,14,450
312,6,36,840
313,9,12,330
314,65,67,780
315,20,34,440
316,2,79,700
317,50,120,720
318,58,102,470
319,49,76,890
320,51,88,650
321,47,76,800
322,32,98,790
323,18,63,760
324,24,43,400
325,32,64,740
326,45,94,690
327,32,101,900
328,42,120,620
329,4,18,350
330,44,104,550
331,16,36,320
332,20,94,690
333,6,82,410
334,41,119,770
335,38,105,510
336,45,91,890
337,60,70,730
338,41,102,530
339,2,70,440
340,20,104,540
341,10,50,480
342,55,109,850
343,58,91,370
344,5,7,870
345,10,93,610
346,16,94,560
347,60,99,750
348,18,76,790
349,38,113,890
350,14,72,430
351,8,39,460
352,4,5,120
353,42,75,780
354,45,61,610
355,48,117,780
356,36,77,770
357,4,74,860
358,39,38,790
359,1,6,430
360,38,119,620
361,8,113,710
362,5,54,360
363,48,74,880
364,67,72,740
365,49,98,620
366,73,74,800
367,59,62,870
368,4,113,780
369,47,96,770
370,60,68,800
371,7,10,380
372,18,69,730
373,17,28,240
374,27,76,500
375,47,67,700
376,65,79,890
377,35,75,530
378,44,70,710
379,56,120,880
380,49,98,690
381,60,102,670
382,56,63,730
383,39,105,540
384,6,28,380
385,6,76,700
386,19,19,460
387,47,93,890
388,17,68,870
389,33,39,390
390,2,63,860
391,52,100,580
392,18,73,880
393,27,39,560
394,32,68,880
395,38,69,820
396,33,78,820
397,57,74,740
398,19,64,780
399,57,71,840
400,47,71,790
401,13,78,820
402,31,65,680
403,21,49,360
404,4,51,600
405,52,98,440
406,25,39,400
407,33,38,680
408,13,106,560
409,33,70,720
410,8,95,700
411,2,6,600
412,17,40,560
413,32,73,790
414,51,110,690
415,60,72,840
416,42,107,770
417,42,98,900
418,50,102,820
419,62,77,770
420,31,62,650
421,24,39,400
422,25,28,770
423,33,40,530
424,57,76,790
425,46,113,600
426,47,115,780
427,68,70,800
428,53,114,900
429,49,87,830
430,42,109,610
431,44,107,640
432,5,12,810
433,53,94,430
434,6,17,430
435,17,65,690
436,44,119,870
437,37,78,850
438,6,97,630
439,1,8,460
440,37,84,650
