,vcpu,ram,volume
88387,21,68,210
49882,16,72,560
252678,45,134,840
24830,12,66,720
76934,19,138,570
179624,32,93,390
24129,12,57,820
86191,20,155,700
33345,13,104,550
203310,35,166,490
103553,22,161,450
24749,12,65,700
257674,46,155,840
157095,29,79,630
200895,35,123,420
81017,20,82,790
689,4,31,260
235939,41,161,490
236885,41,180,450
11722,9,70,280
164437,30,77,450
156524,29,70,500
165241,30,90,560
13841,10,47,390
230235,40,146,790
235639,41,155,490
97080,22,67,580
172507,31,91,320
144224,27,123,790
123110,25,55,800
9080,9,29,100
208558,36,152,580
127676,25,125,260
220566,38,163,840
78464,20,46,820
201947,35,141,860
54359,17,37,370
233702,41,116,620
193479,34,103,390
53790,16,124,640
252842,45,138,640
191115,33,174,750
142950,27,103,850
24670,12,64,700
127289,25,119,350
189851,33,152,870
19118,11,59,170
243946,43,133,490
253449,45,151,730
164888,30,84,690
10333,9,48,470
213980,37,145,520
26814,12,91,810
151519,28,113,720
190880,33,170,720
205018,36,88,380
124836,25,81,900
136932,26,137,620
135085,26,109,350
137406,26,144,810
113854,24,48,640
42590,15,65,190
243303,43,119,780
211433,37,98,430
212651,37,120,730
169841,30,165,810
191461,33,180,730
38599,14,95,730
193926,34,110,870
53402,16,119,510
135354,26,113,440
58337,17,91,190
28925,13,47,810
30245,13,64,750
45702,15,106,150
95936,22,50,870
209920,36,177,450
83603,20,119,380
127257,25,118,690
159722,29,121,860
126279,25,103,810
62433,18,45,550
160784,29,139,320
17928,11,43,750
15090,10,65,100
19869,11,68,660
80765,20,79,400
51475,16,93,740
258487,46,173,870
154994,28,168,820
52282,16,104,560
115762,24,77,290
258306,46,169,860
259333,47,105,900
37089,14,76,260
91959,21,119,230
224606,39,138,510
168240,30,139,660
171920,31,81,450
2028,6,16,210
98948,22,94,630
214121,37,147,850
126586,25,108,580
122159,24,172,610
229308,40,128,700
223298,39,113,430
9094,9,29,240
241225,42,171,730
28518,13,42,640
37501,14,81,530
26415,12,86,770
95588,22,45,840
80469,20,75,280
199815,35,103,820
14114,10,51,280
220649,38,165,610
22492,12,37,250
167371,30,125,510
87917,21,61,410
34781,14,46,280
69426,18,141,400
9104,9,29,340
5025,7,45,500
5980,8,22,640
255431,46,106,460
265172,48,155,490
169768,30,164,690
83600,20,119,350
174500,31,124,450
156594,29,71,580
210349,37,78,390
102848,22,151,300
239087,42,128,420
179739,32,95,360
177471,31,173,760
230927,40,160,570
203505,35,169,760
98779,22,92,320
215419,37,171,870
465,4,24,50
152439,28,128,470
19341,11,61,840
30029,13,62,150
243294,43,119,690
34119,14,37,590
69261,18,139,210
17339,11,36,320
10468,9,50,540
78212,20,43,430
152856,28,134,860
129842,25,157,800
15768,10,74,490
20919,11,82,240
265270,48,157,610
142836,27,102,350
191550,34,69,480
256545,46,130,800
250141,44,170,870
232510,41,92,700
23911,12,55,220
235429,41,150,890
60456,17,119,660
235426,41,150,860
161389,29,148,790
248077,44,127,440
49119,16,62,430
50616,16,82,400
182933,32,149,440
26926,12,93,350
154147,28,155,540
61896,18,38,290
141983,27,88,780
156966,29,77,580
38412,14,93,400
265539,48,163,720
254168,45,167,560
36879,14,73,470
160503,29,134,610
7333,8,46,490
19282,11,61,250
65515,18,87,710
200423,35,114,740
155885,29,60,310
214224,37,149,800
57011,17,73,250
188660,33,132,560
132732,26,72,870
166758,30,115,480
35807,14,59,530
167646,30,129,820
124149,25,71,630
66309,18,98,620
189168,33,141,420
17325,11,36,180
167786,30,132,390
145679,27,146,620
139818,27,54,890
106377,23,71,660
94840,21,160,340
165050,30,87,480
36098,14,63,360
37892,14,86,590
240018,42,147,420
205648,36,99,630
89367,21,82,210
254359,45,171,630
98762,22,91,840
24430,12,61,670
59087,17,101,290
109932,23,123,850
166259,30,107,370
60178,17,115,840
160863,29,140,490
61635,17,135,610
173354,31,105,390
41348,15,48,690
86132,20,154,820
68219,18,124,740
26466,12,87,490
246069,43,177,600
265023,48,151,720
216635,38,89,750
247365,44,111,840
102663,22,148,520
136006,26,123,460
39409,14,106,360
104106,22,169,460
203502,35,169,730
111837,23,151,860
66893,18,106,620
70413,19,47,880
121880,24,168,500
84689,20,134,590
30693,13,70,550
155045,28,169,700
205442,36,95,770
82877,20,109,220
208230,36,146,600
205556,36,97,810
144910,27,134,610
213083,37,128,730
182859,32,147,880
126935,25,113,770
241933,43,91,520
251452,45,108,540
159602,29,119,900
68287,18,125,690
117393,24,101,520
51826,16,98,500
257599,46,154,540
252629,45,133,810
14730,10,59,760
163042,29,175,580
204275,36,74,650
86266,20,156,740
67448,18,114,330
23230,12,46,520
45957,15,109,420
82229,20,99,840
116116,24,82,480
243955,43,133,580
107717,23,91,460
250022,44,168,620
259251,47,104,520
232226,41,86,860
12643,10,30,480
232343,41,89,530
142288,27,93,630
43676,15,79,410
109898,23,123,510
71034,19,56,610
176766,31,162,310
63277,18,57,230
248985,44,146,590
129239,25,148,710
56841,17,70,770
45498,15,103,390
48386,16,52,600
8295,8,63,420
176692,31,160,770
64890,18,79,300
256853,46,137,730
119829,24,137,760
218777,38,130,440
219303,38,140,400
63115,18,54,800
3753,7,20,280
231308,40,167,810
121126,24,157,330
38920,14,99,860
205667,36,99,820
233224,41,106,840
13811,10,46,800
5800,8,19,550
79913,20,67,400
74895,19,110,340
153850,28,150,720
225211,39,149,840
166649,30,113,610
201503,35,133,900
217812,38,111,860
37194,14,77,540
145106,27,137,650
233091,41,104,510
135330,26,112,850
159291,29,114,890
166019,30,103,410
10066,9,44,360
207368,36,130,780
244235,43,139,500
59373,17,105,190
86643,21,43,270
158939,29,109,470
105944,23,65,410
88094,21,63,780
28163,13,38,210
89544,21,84,580
43015,15,70,640
178347,32,71,600
172616,31,92,810
224130,39,129,430
199682,35,101,610
110978,23,139,430
5058,7,46,330
177220,31,169,650
23015,12,43,740
144791,27,132,700
12386,10,26,750
189925,33,154,450
92827,21,131,510
3845,7,22,200
203054,35,161,730
193942,34,111,460
215102,37,166,400
78149,20,42,510
146369,27,157,480
216192,38,81,560
6534,8,32,480
79685,20,64,250
122641,24,179,740
98223,22,84,280
140220,27,61,430
77391,19,144,820
237863,42,103,430
214540,37,155,720
199468,35,97,710
258122,46,165,820
213585,37,137,890
23747,12,53,160
212350,37,115,420
82548,20,104,480
137058,26,139,580
206510,36,115,450
98047,22,81,590
30898,13,73,260
13535,10,43,170
