,vcpu,ram,volume
105520,42,61,660
27446,8,16,160
43243,12,72,850
16856,5,17,630
7526,2,57,780
37589,11,18,480
35429,10,35,400
53390,16,30,310
51287,15,43,760
26430,7,63,890
57504,17,58,680
76319,25,39,610
58715,18,27,660
75887,25,31,730
3576,1,59,680
116079,53,64,800
12941,4,15,380
32000,9,33,450
72757,23,62,680
22473,6,52,650
46363,13,74,890
9618,3,22,390
14218,4,34,610
33230,9,60,870
6900,2,42,670
83204,28,53,820
65245,20,54,620
90454,32,48,880
122478,65,72,850
75992,25,33,610
443,1,6,90
2411,1,33,600
19846,6,9,180
50486,15,29,380
85763,29,76,900
119332,58,68,800
104346,41,62,880
111204,47,72,760
10552,3,37,580
3659,1,61,900
37652,11,19,390
75703,25,28,720
31024,9,18,440
598,1,7,800
102068,39,78,830
94576,34,74,790
91854,33,42,500
15453,4,63,780
123748,69,80,850
74771,24,54,640
39305,11,47,820
45496,13,46,760
10341,3,33,690
30245,8,81,850
33002,9,54,600
38013,11,24,550
10899,3,44,550
114732,51,72,740
114786,51,75,770
55042,16,69,840
11554,3,61,640
49182,14,66,690
107635,44,55,720
93397,34,39,900
14629,4,42,520
98925,37,62,770
90668,32,54,650
30250,8,81,900
116940,54,71,770
71658,23,36,480
122858,66,75,890
34178,10,16,240
3988,1,76,890
84715,29,43,650
75152,24,66,790
124435,72,88,890
22632,6,56,780
111527,48,51,620
72904,23,67,850
58748,18,28,360
71447,23,32,630
15652,4,71,890
20715,6,20,510
46643,14,15,800
64667,20,41,430
49811,15,19,280
32931,9,52,640
51758,15,54,850
109538,46,49,900
20026,6,11,370
64822,20,44,540
26518,7,67,750
8785,3,11,200
64008,20,29,500
12526,4,10,130
123494,68,80,840
73484,24,28,640
61545,19,30,820
96573,36,40,790
64654,20,40,800
103263,40,70,840
84832,29,45,890
53504,16,31,850
39445,11,51,560
114766,51,73,900
42263,12,43,620
13428,4,21,900
80470,27,38,390
108362,45,46,780
40733,12,18,320
49216,14,67,790
36191,10,50,820
31903,9,31,650
92234,33,50,740
91944,33,44,450
57862,17,71,880
10483,3,36,430
47173,14,23,380
117153,55,55,640
32208,9,36,850
47302,14,25,340
20688,6,20,240
100177,38,56,870
938,1,12,150
98822,37,59,640
10363,3,34,340
79047,26,52,590
120208,60,62,850
76866,25,51,620
