,final_vcpu,final_ram,final_volume
0,52,77,450
1,44,95,870
2,49,119,590
3,58,114,700
4,47,116,900
5,50,89,480
6,19,55,500
7,54,100,660
8,57,71,830
9,5,63,900
10,46,66,880
11,53,64,850
12,48,100,730
13,45,106,520
14,38,78,710
15,47,104,720
16,20,89,790
17,8,113,780
18,38,61,820
19,9,49,820
20,52,115,810
21,16,63,760
22,3,62,810
23,8,28,250
24,24,28,430
25,47,90,880
26,43,42,400
27,49,81,640
28,6,105,600
29,52,88,740
30,63,74,880
31,4,14,830
32,46,109,590
33,54,90,410
34,35,103,680
35,3,118,600
36,38,84,410
37,3,5,740
38,4,8,790
39,6,16,530
40,50,98,500
41,49,74,760
42,13,66,740
43,45,110,730
44,55,67,830
45,56,115,740
46,2,83,840
47,31,114,590
48,41,101,750
49,20,56,370
50,12,98,780
51,1,76,850
52,48,109,570
53,37,112,780
54,34,98,870
55,51,97,590
56,51,96,610
57,18,34,730
58,49,106,630
59,53,62,780
60,41,109,850
61,59,97,820
62,19,38,350
63,51,97,690
64,60,104,820
65,46,116,820
66,49,106,700
67,34,85,880
68,5,27,440
69,43,101,740
70,13,82,770
71,51,111,900
72,19,107,820
73,8,28,260
74,44,114,610
75,8,94,560
76,49,114,850
77,4,12,820
78,39,106,460
79,4,32,850
80,44,120,630
81,42,101,740
82,42,83,630
83,46,114,800
84,6,99,530
85,12,93,570
86,46,107,600
87,43,75,520
88,53,101,540
89,40,114,590
90,19,117,800
91,57,98,670
92,60,73,800
93,35,71,750
94,43,38,660
95,80,80,880
96,53,87,900
97,35,100,460
98,52,95,810
99,5,37,440
100,4,69,750
101,49,116,810
102,12,112,770
103,14,103,730
104,25,25,240
105,38,116,880
106,33,79,820
107,18,52,580
108,13,80,700
109,52,63,730
110,46,92,670
111,33,63,770
112,18,36,770
113,38,92,530
114,8,107,740
115,56,79,810
116,1,11,670
117,14,101,700
118,15,68,850
119,55,83,830
120,51,113,850
121,15,47,440
122,4,75,650
123,42,106,660
124,35,97,690
125,49,73,760
126,4,7,550
127,6,110,900
128,63,70,730
129,32,78,820
130,54,101,570
131,53,94,440
132,60,96,520
133,43,74,750
134,5,8,140
135,41,70,820
136,32,88,890
137,5,12,410
138,34,77,630
139,66,84,880
140,54,68,700
141,8,97,610
142,46,110,780
143,28,35,790
144,31,102,870
145,18,117,730
146,18,39,440
147,43,103,710
148,15,79,900
149,2,91,880
150,2,99,580
151,56,61,870
152,48,110,710
153,34,76,800
154,49,116,610
155,32,65,770
156,38,89,570
157,18,85,870
158,13,48,700
159,20,110,800
160,14,64,860
161,44,91,720
162,4,105,840
163,36,70,860
164,57,74,890
165,47,107,600
166,23,47,470
167,39,81,890
168,54,96,710
169,56,90,320
170,54,86,540
171,53,88,570
172,2,76,590
173,10,120,860
174,18,19,380
175,32,107,570
176,45,77,820
177,60,93,760
178,7,9,150
179,32,112,720
180,35,37,630
181,27,39,330
182,45,112,780
183,3,13,400
184,20,58,320
185,10,104,870
186,6,99,610
187,48,120,700
188,44,110,780
189,2,106,550
190,18,19,430
191,48,62,770
192,46,105,880
193,2,3,210
194,57,88,640
195,14,75,880
196,47,100,760
197,9,41,360
198,5,40,340
199,15,50,390
200,54,96,390
201,58,75,810
202,3,6,430
203,1,5,470
204,54,63,800
205,65,69,850
206,4,73,520
207,6,70,490
208,41,103,630
209,37,112,690
210,44,112,530
211,40,100,810
212,37,61,640
213,50,74,760
214,8,91,640
215,50,104,590
216,58,62,740
217,51,109,770
218,57,65,660
219,1,11,640
220,34,85,860
221,61,72,730
222,52,111,660
223,20,114,570
224,33,107,710
225,51,78,830
226,50,73,740
227,58,91,330
228,53,67,710
229,52,68,750
230,47,86,880
231,52,115,650
232,44,114,650
233,19,106,560
234,6,95,690
235,4,5,520
236,4,102,540
237,43,118,580
238,47,65,820
239,31,95,590
240,5,17,190
241,31,113,640
242,40,107,550
243,19,109,880
244,32,104,810
245,50,99,740
246,44,109,870
247,31,79,790
248,4,108,860
249,9,10,270
250,51,71,860
251,8,38,820
252,20,89,420
253,50,84,840
254,15,67,890
255,45,75,840
256,50,82,720
257,32,74,790
258,21,50,480
259,42,62,720
260,43,77,410
261,2,67,740
262,46,118,630
263,50,119,870
264,61,82,880
265,59,65,810
266,51,99,640
267,59,94,540
268,10,94,530
269,47,69,770
270,1,9,570
271,48,99,900
272,51,87,830
273,38,106,790
274,39,109,690
275,4,50,510
276,41,89,830
277,71,74,900
278,49,80,880
279,47,113,710
280,64,69,780
281,48,106,520
282,32,117,880
283,9,45,390
284,7,64,780
285,53,91,800
286,17,53,460
287,3,7,350
288,19,116,790
289,20,58,330
290,48,83,860
291,48,83,850
292,28,28,670
293,19,37,630
294,38,74,840
295,47,74,740
296,78,81,830
297,48,81,610
298,15,71,490
299,43,63,860
300,49,115,850
301,68,73,810
302,47,92,740
303,35,98,620
304,31,102,610
305,50,72,890
306,8,91,770
307,1,15,160
308,5,119,780
309,40,75,850
310,42,112,630
311,60,107,680
312,46,71,720
313,4,98,780
314,58,61,860
315,49,113,800
316,64,86,890
317,42,115,790
318,50,113,670
319,32,118,640
320,4,5,750
321,16,40,780
322,49,64,900
323,31,90,900
324,39,101,650
325,53,67,830
326,33,61,820
327,4,66,420
328,20,34,450
329,37,99,410
