,final_vcpu,final_ram,final_volume
0,42,61,660
1,9,20,200
2,42,72,850
3,8,33,630
4,5,115,780
5,23,26,480
6,10,83,400
7,16,73,310
8,21,95,760
9,17,63,890
10,29,107,680
11,30,93,610
12,18,81,660
13,32,75,730
14,4,109,680
15,53,64,800
16,4,34,380
17,9,79,450
18,53,62,680
19,9,103,650
20,43,74,890
21,3,50,390
22,4,79,610
23,18,119,870
24,2,98,670
25,50,110,820
26,31,104,620
27,32,108,880
28,65,72,850
29,28,84,610
30,2,8,90
31,1,72,600
32,7,16,180
33,15,72,380
34,59,76,900
35,58,68,800
36,41,62,880
37,47,72,760
38,3,84,580
39,11,61,900
40,19,34,390
41,29,75,720
42,14,36,440
43,1,23,800
44,39,78,830
45,34,74,790
46,33,102,500
47,14,63,780
48,69,80,850
49,40,105,640
50,19,95,820
51,21,92,760
52,3,79,690
53,18,81,850
54,14,108,600
55,11,64,550
56,4,92,550
57,51,72,740
58,51,75,770
59,46,69,840
60,13,61,640
61,44,66,690
62,44,115,720
63,34,99,900
64,4,93,520
65,37,62,770
66,32,114,650
67,18,81,900
68,54,71,770
69,26,85,480
70,66,75,890
71,10,21,360
72,11,76,890
73,45,94,650
74,54,66,790
75,72,88,890
76,10,109,780
77,48,111,620
78,53,67,850
79,18,71,360
80,26,84,630
81,14,71,890
82,10,36,510
83,24,30,800
84,26,83,430
85,21,28,410
86,14,107,640
87,26,105,850
88,46,109,900
89,6,28,370
90,28,85,540
91,17,67,750
92,6,13,210
93,21,75,500
94,4,18,130
95,68,80,840
96,25,82,640
97,21,85,820
98,36,100,790
99,27,91,800
100,40,70,840
101,49,99,890
102,18,87,850
103,19,97,560
104,51,73,900
105,18,89,620
106,4,60,900
107,32,88,390
108,45,106,780
109,19,34,320
110,44,67,790
111,17,106,820
112,9,82,650
113,33,110,740
114,33,104,450
115,47,71,880
116,3,76,430
117,14,58,380
118,55,115,640
119,10,91,850
120,14,60,340
121,8,23,300
122,38,116,870
123,4,12,150
124,37,119,640
125,3,67,340
126,45,98,590
127,60,62,850
128,40,102,620
129,8,102,500
130,9,33,800
131,46,65,900
132,41,111,610
133,7,30,710
134,32,119,900
135,41,104,500
